	cre	collection_date	sequencing_type	total_reads	all_mapped_percent	mRNA_percent	genome_percent	ercc_percent	tdt_permillion	BICCN_class_label	BICCN_cluster_label	major_dissection	layer_dissectoin	color_code	short_name	BICCN_ontology_term_id	assay_ontology_term_id	disease_ontology_term_id	tissue_ontology_term_id	cell_type_ontology_term_id	self_reported_ethnicity_ontology_term_id	development_stage_ontology_term_id	sex_ontology_term_id	is_primary_data	organism_ontology_term_id	donor_id	suspension_type	tissue_type	cell_type	assay	disease	organism	sex	tissue	self_reported_ethnicity	development_stage	observation_joinid
C09111440	Cux2	8/15/2014	hiseq_102314	22745593	93.42	57.55	29.63	1.06	255.1	Excitatory	L2/3	V1	All	47	C1265_V	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	150755	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	OV?~bu3#2c
C09111441	Cux2	8/15/2014	hiseq_102314	4910718	92.56	42.8	41.81	2.97	235.4	Excitatory	L4	V1	All	47	C1266_V	ILX:0770174	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	150755	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	ty6%b&2QGV
C09111442	Cux2	8/15/2014	hiseq_102314	5985639	89.47	44.76	34.17	5.24	603.9	Excitatory	L2/3	V1	All	47	C1267_V	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	150755	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	cx2Fr)r*3e
C09111443	Cux2	8/15/2014	hiseq_102314	6114165	93.06	51.82	35.39	1.52	327.8	Excitatory	L2/3_Syt10	V1	All	47	C1268_V	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	150755	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	lukpg$Fn0K
C09111444	Cux2	8/15/2014	hiseq_102314	6805824	93.44	55.83	31.54	1.12	350.3	Excitatory	L2/3	V1	All	47	C1269_V	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	150755	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	!QcgABxqKB
C09111445	Cux2	8/15/2014	hiseq_102314	6055540	92.81	54.2	32.4	1.49	286.2	Excitatory	L2/3	V1	All	47	C1270_V	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	150755	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	^9z0y=%s%v
C09111446	Cux2	8/15/2014	hiseq_102314	6403982	93.3	54.48	32.63	1.43	151.3	Inhibitory	Sst_Cbln4	V1	All	47	C1271_V	ILX:0770152	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	150755	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	T~7Ssl04~k
C12181417	Cux2	11/10/2014	hiseq_122214	6145567	93.04	46.36	40.65	1.24	182.9	Excitatory	L2/3	V1	L2/3	1	C1664_V23	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	161531	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	gV+TRsL{+S
C12181418	Cux2	11/10/2014	hiseq_122214	6336808	92.44	48.88	38.66	0.7	229.9	Excitatory	L2/3_Syt10	V1	L2/3	1	C1665_V23	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	161531	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	8~gU)5-6l$
C12181419	Cux2	11/10/2014	hiseq_122214	5412707	91.94	47.7	38.59	0.91	159.8	Excitatory	L2/3	V1	L2/3	1	C1666_V23	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	161531	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	$QZ+aU*}Wg
C12181420	Cux2	11/10/2014	hiseq_122214	7550591	91.66	49.47	36.71	1.07	304.1	Excitatory	L2/3	V1	L2/3	1	C1667_V23	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	161531	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	Y?jbEw(h~k
C12181421	Cux2	11/10/2014	hiseq_122214	7119162	92.16	51.43	34.95	0.82	222.6	Excitatory	L2/3	V1	L2/3	1	C1668_V23	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	161531	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	ETa3;#b?$#
C12181422	Cux2	11/10/2014	hiseq_122214	7681494	92.45	43.79	43.31	0.94	223.7	Excitatory	L2/3_Syt10	V1	L2/3	1	C1669_V23	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	161531	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	g~ziykVNT$
C12181423	Cux2	11/10/2014	hiseq_122214	6457750	91.86	46.81	39.56	0.93	136.3	Excitatory	L2/3	V1	L2/3	1	C1670_V23	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	161531	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	{*xL>vZ!9k
C12181424	Cux2	11/10/2014	hiseq_122214	6184360	91.89	47.21	39.29	1.03	209.7	Excitatory	L2/3	V1	L2/3	1	C1671_V23	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	161531	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	>K+SuT66ya
C12181425	Cux2	11/10/2014	hiseq_122214	6466729	73.36	41.89	26.01	0.74	117.7	Excitatory	L2/3	V1	L2/3	1	C1672_V23	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	161531	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	HZVrCDa8%Z
C12181426	Cux2	11/10/2014	hiseq_122214	6316714	90.42	49.96	34.16	1.22	73.0	Excitatory	L2/3	V1	L2/3	1	C1673_V23	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	161531	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	NQ!V==*0R$
C12181427	Cux2	11/10/2014	hiseq_122214	5605714	89.99	49.31	35.28	1.0	234.6	Excitatory	L2/3_Syt10	V1	L2/3	1	C1674_V23	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	161531	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	7jy4U5+xwo
C12181428	Cux2	11/10/2014	hiseq_122214	6919435	91.52	46.64	38.53	1.43	149.4	Excitatory	L2/3	V1	L2/3	1	C1675_V23	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	161531	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	nhEH?>uj#f
C12181429	Cux2	11/10/2014	hiseq_122214	6263238	90.86	51.33	33.7	0.82	151.0	Excitatory	L2/3	V1	L2/3	1	C1676_V23	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	161531	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	s|CUGnh2@r
C12181430	Cux2	11/10/2014	hiseq_122214	7645533	90.28	46.94	37.0	1.07	318.1	Excitatory	L2/3	V1	L2/3	1	C1677_V23	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	161531	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	ntRmGq26nm
C12181431	Cux2	11/10/2014	hiseq_122214	6553822	91.85	49.58	36.52	0.85	303.8	Excitatory	L2/3	V1	L2/3	1	C1678_V23	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	161531	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	Xr=&`nOS9H
C12181432	Cux2	11/10/2014	hiseq_122214	6671044	89.72	52.37	31.36	0.96	266.7	Excitatory	L2/3	V1	L2/3	1	C1679_V23	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	161531	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	_&8vx%`-Oj
C13090625	Cux2	8/22/2013	hiseq	53968863	92.77	52.18	35.25	0.69	230.9	Excitatory	L2/3_Syt10	V1	L2/3	1	C88_V23	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	118134	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	jOf)QuLNOB
C13090626	Cux2	8/22/2013	hiseq	30296116	93.01	49.74	37.7	0.72	224.7	Excitatory	L2/3	V1	L2/3	1	C89_V23	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	118134	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	NNxSklUYp(
C13090627	Cux2	8/22/2013	hiseq	41681605	92.27	45.46	41.56	0.75	217.1	Excitatory	L2/3	V1	L2/3	1	C90_V23	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	118134	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	LSp}_-Sm-n
C13090628	Cux2	8/22/2013	hiseq	82200001	92.49	49.55	37.4	0.86	227.3	Excitatory	L2/3_Syt10	V1	L2/3	1	C91_V23	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	118134	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	pkpz>A~6NH
C13090629	Cux2	8/22/2013	hiseq	74929378	92.7	49.7	37.54	0.99	176.6	Excitatory	L2/3_Syt10	V1	L2/3	1	C92_V23	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	118134	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	cGHwZz~kQ^
C13090630	Cux2	8/22/2013	hiseq	84333721	92.75	50.35	36.29	0.78	284.7	Excitatory	L2/3	V1	L2/3	1	C93_V23	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	118134	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	J#Q)9eNej|
C13090631	Cux2	8/22/2013	hiseq	80189899	91.57	68.49	16.43	1.53	363.3	Excitatory	L2/3_Syt10	V1	L2/3	1	C94_V23	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	118134	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	WYnIr#|LV3
C13090632	Cux2	8/22/2013	hiseq_102314	6616046	92.33	51.33	34.24	1.33	194.8	Excitatory	L2/3_Syt10	V1	L2/3	1	C95_V23	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	118134	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	TrlEk#9dIp
Ct02061539	Ctgf	11/6/2014	hiseq_020915	6192110	88.16	48.26	27.68	3.95	296.0	Glia	OPC	V1	All	62	Ct1986_V	ILX:0770139	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0002453	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	162675	cell	tissue	oligodendrocyte precursor cell	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	S6duBIQn)u
Ct02061540	Ctgf	11/6/2014	hiseq_020915	7717021	84.49	38.75	31.64	7.68	23.1	Endothelial	Endothelial	V1	All	62	Ct1987_V	ILX:0770142	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000115	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	162675	cell	tissue	endothelial cell	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	djdr-R!2q3
Ct02061541	Ctgf	11/6/2014	hiseq_020915	9282525	82.12	37.37	31.56	6.41	225.7	Glia	OPC	V1	All	62	Ct1988_V	ILX:0770139	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0002453	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	162675	cell	tissue	oligodendrocyte precursor cell	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	Kh?^oXPl%d
Ct02061542	Ctgf	11/6/2014	hiseq_020915	9104665	84.95	44.3	25.77	4.91	212.9	Unknown	nan	V1	All	62	Ct1989_V	nan	EFO:0008930	PATO:0000461	UBERON:0002436	unknown	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	162675	cell	tissue	unknown	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	IEHu2<Ef>_
Ct02061543	Ctgf	11/6/2014	hiseq_020915	7996701	85.9	46.88	27.73	5.2	171.2	Endothelial	Endothelial	V1	All	62	Ct1990_V	ILX:0770142	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000115	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	162675	cell	tissue	endothelial cell	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	@_W&xNNz%N
Ct02061544	Ctgf	11/6/2014	hiseq_020915	9835357	79.42	42.95	22.22	5.93	101.8	Endothelial	Endothelial	V1	All	62	Ct1991_V	ILX:0770142	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000115	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	162675	cell	tissue	endothelial cell	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	4o$D9(wT^c
Ct02061545	Ctgf	11/6/2014	hiseq_020915	9862029	80.78	39.5	29.45	5.64	277.3	Endothelial	Endothelial	V1	All	62	Ct1992_V	ILX:0770142	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000115	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	162675	cell	tissue	endothelial cell	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	tvvO)GrCge
Ct02061546	Ctgf	11/6/2014	hiseq_020915	7554541	88.06	44.15	33.58	2.65	382.7	Endothelial	Endothelial	V1	All	62	Ct1993_V	ILX:0770142	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000115	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	162675	cell	tissue	endothelial cell	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	PzYc$ATlQO
Ct02061547	Ctgf	11/6/2014	hiseq_020915	8173488	81.49	38.5	29.82	6.32	683.6	Glia	OPC	V1	All	62	Ct1994_V	ILX:0770139	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0002453	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	162675	cell	tissue	oligodendrocyte precursor cell	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	#|~gwm;h0>
Ct02061548	Ctgf	11/6/2014	hiseq_020915	6778192	85.16	48.45	24.97	3.24	623.5	Unknown	nan	V1	All	62	Ct1995_V	nan	EFO:0008930	PATO:0000461	UBERON:0002436	unknown	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	162675	cell	tissue	unknown	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	KYMfLtc}X}
Ct12181401	Ctgf	11/6/2014	hiseq_122214	4857449	89.02	48.01	35.27	1.22	219.0	Excitatory	L6b	V1	L6b	61	Ct1650_V6b	ILX:0770163	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	162106	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	Y+fa5NC@4f
Ct12181402	Ctgf	11/6/2014	hiseq_122214	5826989	91.88	52.15	34.58	0.67	210.9	Excitatory	L6b	V1	L6b	61	Ct1651_V6b	ILX:0770163	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	162106	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	T}i#>-nk_@
Ct12181403	Ctgf	11/6/2014	hiseq_122214	4870590	90.53	55.03	30.36	0.74	287.2	Excitatory	L6b	V1	L6b	61	Ct1652_V6b	ILX:0770163	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	162106	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	6U6KzByr-)
Ct12181404	Ctgf	11/6/2014	hiseq_122214	6083060	90.83	54.78	30.59	0.64	267.6	Excitatory	L6b	V1	L6b	61	Ct1653_V6b	ILX:0770163	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	162106	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	S0gLa0#VbK
Ct12181406	Ctgf	11/6/2014	hiseq_122214	5810865	90.46	50.33	34.47	1.1	406.1	Excitatory	L6b	V1	L6b	61	Ct1654_V6b	ILX:0770163	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	162106	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	z{>?04qp9`
Ct12181407	Ctgf	11/6/2014	hiseq_122214	4938161	90.72	55.71	29.42	0.88	202.5	Excitatory	L6b	V1	L6b	61	Ct1655_V6b	ILX:0770163	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	162106	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	IQxbOFs{-@
Ct12181408	Ctgf	11/6/2014	hiseq_122214	5346136	91.07	54.61	31.44	1.1	156.4	Excitatory	L6b	V1	L6b	61	Ct1656_V6b	ILX:0770163	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	162106	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	ou}iTw0wl1
Ct12181410	Ctgf	11/6/2014	hiseq_122214	5987860	90.72	57.89	27.43	0.85	366.4	Excitatory	L6b	V1	L6b	61	Ct1657_V6b	ILX:0770163	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	162106	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	L0=D6RO9?=
Ct12181411	Ctgf	11/6/2014	hiseq_122214	5357099	90.73	53.92	31.45	0.74	327.8	Excitatory	L6b	V1	L6b	61	Ct1658_V6b	ILX:0770163	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	162106	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	!{HfW52UVo
Ct12181412	Ctgf	11/6/2014	hiseq_122214	6246896	90.67	54.7	30.65	0.83	287.2	Excitatory	L6b	V1	L6b	61	Ct1659_V6b	ILX:0770163	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	162106	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	GD-^~GItFr
Ct12181413	Ctgf	11/6/2014	hiseq_122214	6396543	90.7	51.28	34.23	0.72	159.0	Excitatory	L6b	V1	L6b	61	Ct1660_V6b	ILX:0770163	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	162106	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	=h_6_TJyFG
Ct12181414	Ctgf	11/6/2014	hiseq_122214	6960468	89.88	53.66	30.6	0.99	225.3	Excitatory	L6b	V1	L6b	61	Ct1661_V6b	ILX:0770163	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	162106	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	KHk;T3nShG
Ct12181416	Ctgf	11/6/2014	hiseq_122214	6645955	90.42	47.58	37.63	0.84	176.8	Excitatory	L6b	V1	L6b	61	Ct1663_V6b	ILX:0770163	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	162106	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	9Xr1IAKO0%
D08281408	Gad2	8/14/2014	hiseq_122214	9352986	92.14	55.87	30.7	1.49	242.0	Inhibitory	Vip	V1	All	46	D1216_V	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	150706	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	QR$`})f2sT
D08281409	Gad2	8/14/2014	hiseq_122214	7785226	93.24	64.02	24.0	0.53	112.4	Inhibitory	Unknown	V1	All	46	D1217_V	unknown	EFO:0008930	PATO:0000461	UBERON:0002436	unknown	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	150706	cell	tissue	unknown	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	{5nWd1rAr#
D08281410	Gad2	8/14/2014	hiseq_122214	9886256	92.19	51.38	34.4	1.71	9.8	Inhibitory	Ndnf	V1	All	46	D1218_V	Ndnf	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	150706	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	S|$t4mk^vZ
D08281411	Gad2	8/14/2014	hiseq_122214	6494689	92.51	55.12	31.02	1.11	130.9	Glia	OPC	V1	All	46	D1219_V	ILX:0770139	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0002453	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	150706	cell	tissue	oligodendrocyte precursor cell	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	-eYCgl&FaI
D08281412	Gad2	8/14/2014	hiseq_122214	9156617	92.41	52.76	33.52	0.98	191.1	Inhibitory	Ndnf	V1	All	46	D1220_V	Ndnf	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	150706	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	b>S%|{G<vF
D08281413	Gad2	8/14/2014	hiseq_122214	8107053	91.97	55.42	31.29	1.05	45.0	Inhibitory	Ndnf	V1	All	46	D1221_V	Ndnf	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	150706	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	`2SrA9&3oW
D08281414	Gad2	8/14/2014	hiseq_122214	11346886	93.12	66.39	20.49	0.48	108.8	Inhibitory	Ndnf	V1	All	46	D1222_V	Ndnf	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	150706	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	OJzb5S*I?G
D08281415	Gad2	8/14/2014	hiseq_122214	10874042	92.42	57.31	29.83	0.8	193.6	Inhibitory	Sst	V1	All	46	D1223_V	ILX:0770152	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	150706	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	JWve-7qmYz
D08281416	Gad2	8/14/2014	hiseq_122214	9844532	92.32	53.64	31.82	1.53	267.6	Inhibitory	Unknown	V1	All	46	D1224_V	unknown	EFO:0008930	PATO:0000461	UBERON:0002436	unknown	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	150706	cell	tissue	unknown	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	v$^)6$h7OI
