ID	NCBI_GENE_ID	ENSEMBL_ID	OFFICIAL_SYMBOL	OFFICIAL_NAME
950062	29264	ENSRNOG00000021611	Clip2	CAP-GLY domain containing linker protein 2
950068	29265	ENSRNOG00000020625	Mcpt1	mast cell protease 1
950077	29266	ENSRNOG00000020625	Mcpt2	mast cell protease 2
950084	29268	ENSRNOG00000018611	Tpsb2	tryptase beta 2
950092	29269	ENSRNOG00000063482	Mcpt8	mast cell protease 8
950098	29270	ENSRNOG00000015455	Spr	sepiapterin reductase
950106	29271	ENSRNOG00000020660	Cfl1	cofilin 1
950116	29272	ENSRNOG00000030547	Dpp6	dipeptidyl peptidase like 6
950124	29274	ENSRNOG00000013930	Rnf4	ring finger protein 4
950134	29275	ENSRNOG00000008536	Actc1	actin, alpha, cardiac muscle 1
950146	29276	ENSRNOG00000008937	Csrp1	cysteine and glycine-rich protein 1
950154	29277	ENSRNOG00000052810	Cyp2c11	cytochrome P450, subfamily 2, polypeptide 11
950164	29278	ENSRNOG00000004132	Lasp1	LIM and SH3 protein 1
950172	29279	ENSRNOG00000006588	Meox2	mesenchyme homeobox 2
950178	680409	ENSRNOG00000000281	Prodh	proline dehydrogenase
950180	29282	ENSRNOG00000004107	Rpl23	ribosomal protein L23
950188	29283	ENSRNOG00000011138	Rpl29	ribosomal protein L29
950198	29284	ENSRNOG00000018774	Rps14	ribosomal protein S14
950206	29285	ENSRNOG00000024603	Rps15	ribosomal protein S15
950217	29286	ENSRNOG00000019106	Rps17	ribosomal protein S17
950225	29287	ENSRNOG00000037897	Rps19	ribosomal protein S19
950233	29288	ENSRNOG00000011893	Rps3a	ribosomal protein S3a
950243	29290	ENSRNOG00000003442	Adora1	adenosine A1 receptor
950258	29292	ENSRNOG00000064385	Ftl1	ferritin light chain 1
950276	29294		Bc1	brain cytoplasmic RNA 1
950278	29295	ENSRNOG00000031529	Cyp2b12	cytochrome P450, family 2, subfamily b, polypeptide 12
950307	29298	ENSRNOG00000021405	Cyp2c7	cytochrome P450, family 2, subfamily c, polypeptide 7
950320	29300	ENSRNOG00000023433	Gata6	GATA binding protein 6
950328	29301	ENSRNOG00000004502	Hal	histidine ammonia lyase
950341	29302	ENSRNOG00000048449	Itgb3	integrin subunit beta 3
950347	29304	ENSRNOG00000007663	Rps6	ribosomal protein S6
950355	29307	ENSRNOG00000004311	Gpr182	G protein-coupled receptor 182
950364	29308	ENSRNOG00000069300	Arl4a	ADP-ribosylation factor like GTPase 4A
950372	29309	ENSRNOG00000009974	Coq3	coenzyme Q3 methyltransferase
950382	29310	ENSRNOG00000004451	Mc3r	melanocortin 3 receptor
